gspp_id,gspp_title,gspp_level,coverage,confidence,gs_ids,gs_titles,rationale,gap_notes,model,timestamp
BES.1.3,Lieferanten- und Dienstleisterverzeichnis,normal-SdT,keine,0.0,,,N/A,N/A,text-embedding-3-small,2026-04-21T13:36:43
BES.1.3.1,Gesamte Lieferkette,erhöht,keine,0.0,,,N/A,N/A,text-embedding-3-small,2026-04-21T13:36:43
BES.1.5,Autorisierung des Bereitstellungsmodells,normal-SdT,keine,0.0,,,N/A,N/A,text-embedding-3-small,2026-04-21T13:36:43
BES.1.6,Dokumentation des Bereitstellungsmodells,normal-SdT,keine,0.0,,,N/A,N/A,text-embedding-3-small,2026-04-21T13:36:43
BES.1.7,Vereinbarung der geteilten Verantwortung,normal-SdT,keine,0.0,,,N/A,N/A,text-embedding-3-small,2026-04-21T13:36:43
BES.2.1,Erfassung des Bedarfes,normal-SdT,keine,0.0,,,N/A,N/A,text-embedding-3-small,2026-04-21T13:36:43
BES.2.1.1,Verwendungszweck,normal-SdT,keine,0.0,,,N/A,N/A,text-embedding-3-small,2026-04-21T13:36:43
BES.2.1.2,Geschäftsprozessprofile,erhöht,keine,0.0,,,N/A,N/A,text-embedding-3-small,2026-04-21T13:36:43
BES.2.1.3,Systemvoraussetzungen,normal-SdT,keine,0.0,,,N/A,N/A,text-embedding-3-small,2026-04-21T13:36:43
BES.2.1.4,Kompatibilität,normal-SdT,keine,0.0,,,N/A,N/A,text-embedding-3-small,2026-04-21T13:36:43
BES.2.1.5,Lizenzierung,normal-SdT,keine,0.0,,,N/A,N/A,text-embedding-3-small,2026-04-21T13:36:43
BES.2.1.6,Support- und Wartungsverträge,normal-SdT,keine,0.0,,,N/A,N/A,text-embedding-3-small,2026-04-21T13:36:43
BES.2.2,Dokumentation des Rechtsraums und der Datenlokation,normal-SdT,keine,0.0,,,N/A,N/A,text-embedding-3-small,2026-04-21T13:36:43
BES.2.3,Vereinbarung des Rechtsraums und der Datenlokation,erhöht,keine,0.0,,,N/A,N/A,text-embedding-3-small,2026-04-21T13:36:43
BES.2.4,Anhörung Nutzender,normal-SdT,keine,0.0,,,N/A,N/A,text-embedding-3-small,2026-04-21T13:36:43
BES.2.5,Anhörung Adminstrierender,normal-SdT,keine,0.0,,,N/A,N/A,text-embedding-3-small,2026-04-21T13:36:44
BES.3.1,Klassifizierung von Lieferantenbeziehungen,normal-SdT,keine,0.0,,,N/A,N/A,text-embedding-3-small,2026-04-21T13:36:44
